"distritof_21","nombre_distritof_21","municipio_21","nombre_municipio_21","ele_morena_df_21","ele_morena_10_pct"
1,"PALENQUE",65,"PALENQUE",17165,1716
1,"PALENQUE",76,"SALTO DE AGUA",12374,1237
1,"PALENQUE",110,"YAJALON",9834,983
1,"PALENQUE",75,"SABANILLA",8270,827
1,"PALENQUE",96,"TILA",8116,812
1,"PALENQUE",16,"CATAZAJA",5659,566
1,"PALENQUE",100,"TUMBALA",5347,535
1,"PALENQUE",50,"LA LIBERTAD",2154,215
2,"BOCHIL",38,"HUITIUPAN",6402,640
2,"BOCHIL",26,"CHENALHO",4560,456
2,"BOCHIL",44,"IXTAPA",3937,394
2,"BOCHIL",22,"CHALCHIHUITAN",3802,380
2,"BOCHIL",47,"JITOTOL",3583,358
2,"BOCHIL",13,"BOCHIL",3445,344
2,"BOCHIL",82,"SIMOJOVEL",2882,288
2,"BOCHIL",5,"AMATAN",2729,273
2,"BOCHIL",14,"EL BOSQUE",2687,269
2,"BOCHIL",42,"IXHUATAN",2402,240
2,"BOCHIL",71,"PUEBLO NUEVO SOLISTAHUACAN",2061,206
2,"BOCHIL",86,"SOYALO",1564,156
2,"BOCHIL",56,"MITONTIC",1023,102
2,"BOCHIL",120,"RINCON CHAMULA SAN PEDRO",1009,101
2,"BOCHIL",49,"LARRAINZAR",594,59
2,"BOCHIL",66,"PANTELHO",439,44
2,"BOCHIL",117,"SAN ANDRES DURAZNAL",114,11
2,"BOCHIL",112,"ALDAMA",86,9
2,"BOCHIL",118,"SANTIAGO EL PINAR",57,6
3,"OCOSINGO",59,"OCOSINGO",37314,3731
3,"OCOSINGO",31,"CHILON",25759,2576
3,"OCOSINGO",83,"SITALA",4320,432
3,"OCOSINGO",113,"BENEMERITO DE LAS AMERICAS",4282,428
3,"OCOSINGO",115,"MARQUES DE COMILLAS",2255,226
4,"PICHUCALCO",73,"REFORMA",10280,1028
4,"PICHUCALCO",12,"BERRIOZABAL",8705,870
4,"PICHUCALCO",68,"PICHUCALCO",6494,649
4,"PICHUCALCO",78,"SAN FERNANDO",5317,532
4,"PICHUCALCO",123,"MEZCALAPA",4960,496
4,"PICHUCALCO",93,"TECPATAN",4523,452
4,"PICHUCALCO",21,"COPAINALA",4427,443
4,"PICHUCALCO",48,"JUAREZ",4308,431
4,"PICHUCALCO",92,"TAPILULA",2784,278
4,"PICHUCALCO",43,"IXTACOMITAN",2522,252
4,"PICHUCALCO",18,"COAPILLA",2385,238
4,"PICHUCALCO",62,"OSTUACAN",2125,212
4,"PICHUCALCO",33,"FRANCISCO LEON",1984,198
4,"PICHUCALCO",25,"CHAPULTENANGO",1890,189
4,"PICHUCALCO",72,"RAYON",1812,181
4,"PICHUCALCO",85,"SOLOSUCHIAPA",1589,159
4,"PICHUCALCO",67,"PANTEPEC",1584,158
4,"PICHUCALCO",29,"CHICOASEN",1374,137
4,"PICHUCALCO",91,"TAPALAPA",639,64
4,"PICHUCALCO",63,"OSUMACINTA",629,63
4,"PICHUCALCO",45,"IXTAPANGAJOYA",535,54
4,"PICHUCALCO",89,"SUNUAPA",526,53
4,"PICHUCALCO",60,"OCOTEPEC",142,14
5,"SAN CRISTOBAL DE LAS CASAS",77,"SAN CRISTOBAL DE LAS CASAS",16615,1662
5,"SAN CRISTOBAL DE LAS CASAS",23,"CHAMULA",9498,950
5,"SAN CRISTOBAL DE LAS CASAS",94,"TENEJAPA",8193,819
5,"SAN CRISTOBAL DE LAS CASAS",111,"ZINACANTAN",4065,406
5,"SAN CRISTOBAL DE LAS CASAS",79,"SAN JUAN CANCUC",2524,252
5,"SAN CRISTOBAL DE LAS CASAS",80,"SAN LUCAS",471,47
6,"TUXTLA GUTIERREZ",102,"TUXTLA GUTIERREZ",21886,2189
6,"TUXTLA GUTIERREZ",61,"OCOZOCOAUTLA DE ESPINOSA",18681,1868
6,"TUXTLA GUTIERREZ",27,"CHIAPA DE CORZO",15346,1535
6,"TUXTLA GUTIERREZ",2,"ACALA",4005,400
6,"TUXTLA GUTIERREZ",87,"SUCHIAPA",2366,237
6,"TUXTLA GUTIERREZ",98,"TOTOLAPA",1231,123
6,"TUXTLA GUTIERREZ",28,"CHIAPILLA",1052,105
7,"TONALA",97,"TONALA",16413,1641
7,"TONALA",9,"ARRIAGA",9992,999
7,"TONALA",40,"HUIXTLA",9874,987
7,"TONALA",69,"PIJIJIAPAN",8457,846
7,"TONALA",51,"MAPASTEPEC",5717,572
7,"TONALA",107,"VILLACOMALTITLAN",5043,504
