"variables","archivo"
"DISTRITO","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"MUNICIPIO","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"SECCION","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"CASILLA","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"NOMINAL","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"PAN_PRS","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"PRI_PVEM","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"PRD_PT","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"CONVERGENCIA","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"PANAL","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"NO_REG","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"NULOS","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"TEPJF","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/bajacaliforniasur_normal_casilla.csv"
"DISTRITO","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/coahuila_normal_casilla.csv"
"NOMBRE_MUNICIPIO","/Users/emiliomorones/Dropbox (Selva)/Ciencia de datos/Consultoría Estadística/Recursos/Externos/Limpieza/Resultados definitivos/Local/2011/Distrito local/coahuila_normal_casilla.csv"
