tipo,nivel,eleccion,year,bd,estado
alianzas,local,dl_16,,dgo_dl_16.rda,10
alianzas,local,dl_18,,dgo_dl_18.rda,10
alianzas,local,gb_16,,dgo_gb_16.rda,10
alianzas,local,pm_16,,dgo_pm_16.rda,10
alianzas,local,pm_19,,dgo_pm_19.rda,10
alianzas,federal,df_15,,df_15.rda,
alianzas,federal,df_18,,df_18.rda,
alianzas,federal,df21,,df_21.rda,
auxiliares,local,,2022,beneficiarios.rda,7
auxiliares,local,,2022,referente_mpos.rda,7
auxiliares,local,,2022,presidentes_mpos_mex.rda,15
auxiliares,local,,,regiones.rda,15
auxiliares,federal,cp_22,,cat_utm_22.rda,
electoral,local,dl_21,,chis_dl_21.rda,7
electoral,local,gb_18,,chis_gb_18.rda,7
electoral,local,pm_18,,chis_pm_18.rda,7
electoral,local,pm_21,,chis_pm_21.rda,7
electoral,local,pmext_22,,chis_pmext_22.rda,7
electoral,local,pm_21,,coah_pm_21.rda,5
electoral,local,gb_16,,dgo_gb_16.rda,10
electoral,local,pm_16,,dgo_pm_16.rda,10
electoral,local,pm_19,,dgo_pm_19.rda,10
electoral,local,dl_18,,mex_dl_18.rda,15
electoral,local,dl_21,,mex_dl_21.rda,15
electoral,local,gb_17,,mex_gb_17.rda,15
electoral,local,pm_18,,mex_pm_18.rda,15
electoral,local,pm_21,,mex_pm_21.rda,15
electoral,local,pmext_21,,mex_pmext_21.rda,15
electoral,federal,cp_22,,nac_cp_22.rda,
electoral,federal,df_15,,nac_df_15.rda,
electoral,federal,df_18,,nac_df_18.rda,
electoral,federal,df_21,,nac_df_21.rda,
electoral,federal,pr_18,,nac_pr_18.rda,
shp,distritof,df_21,2021,08.rda,8
shp,distritof,df_21,2021,01.rda,1
shp,distritof,df_21,2021,02.rda,2
shp,distritof,df_21,2021,03.rda,3
shp,distritof,df_21,2021,04.rda,4
shp,distritof,df_21,2021,05.rda,5
shp,distritof,df_21,2021,06.rda,6
shp,distritof,df_21,2021,07.rda,7
shp,distritof,df_21,2021,09.rda,9
shp,distritof,df_21,2021,10.rda,10
shp,distritof,df_21,2021,11.rda,11
shp,distritof,df_21,2021,12.rda,12
shp,distritof,df_21,2021,13.rda,13
shp,distritof,df_21,2021,14.rda,14
shp,distritof,df_21,2021,15.rda,15
shp,distritof,df_21,2021,16.rda,16
shp,distritof,df_21,2021,17.rda,17
shp,distritof,df_21,2021,18.rda,18
shp,distritof,df_21,2021,19.rda,19
shp,distritof,df_21,2021,20.rda,20
shp,distritof,df_21,2021,21.rda,21
shp,distritof,df_21,2021,22.rda,22
shp,distritof,df_21,2021,23.rda,23
shp,distritof,df_21,2021,24.rda,24
shp,distritof,df_21,2021,25.rda,25
shp,distritof,df_21,2021,26.rda,26
shp,distritof,df_21,2021,27.rda,27
shp,distritof,df_21,2021,28.rda,28
shp,distritof,df_21,2021,29.rda,29
shp,distritof,df_21,2021,30.rda,30
shp,distritof,df_21,2021,31.rda,31
shp,distritof,df_21,2021,32.rda,32
shp,distritol,dl_21,2021,01.rda,1
shp,distritol,dl_21,2021,02.rda,2
shp,distritol,dl_21,2021,03.rda,3
shp,distritol,dl_21,2021,04.rda,4
shp,distritol,dl_21,2021,05.rda,5
shp,distritol,dl_21,2021,06.rda,6
shp,distritol,dl_21,2021,07.rda,7
shp,distritol,dl_21,2021,08.rda,8
shp,distritol,dl_21,2021,09.rda,9
shp,distritol,dl_21,2021,10.rda,10
shp,distritol,dl_21,2021,11.rda,11
shp,distritol,dl_21,2021,12.rda,12
shp,distritol,dl_21,2021,13.rda,13
shp,distritol,dl_21,2021,14.rda,14
shp,distritol,dl_21,2021,15.rda,15
shp,distritol,dl_21,2021,16.rda,16
shp,distritol,dl_21,2021,17.rda,17
shp,distritol,dl_21,2021,18.rda,18
shp,distritol,dl_21,2021,19.rda,19
shp,distritol,dl_21,2021,20.rda,20
shp,distritol,dl_21,2021,21.rda,21
shp,distritol,dl_21,2021,22.rda,22
shp,distritol,dl_21,2021,23.rda,23
shp,distritol,dl_21,2021,24.rda,24
shp,distritol,dl_21,2021,25.rda,25
shp,distritol,dl_21,2021,26.rda,26
shp,distritol,dl_21,2021,27.rda,27
shp,distritol,dl_21,2021,28.rda,28
shp,distritol,dl_21,2021,29.rda,29
shp,distritol,dl_21,2021,30.rda,30
shp,distritol,dl_21,2021,31.rda,31
shp,distritol,dl_21,2021,32.rda,32
shp,estado,ent_21,2021,01.rda,1
shp,estado,ent_21,2021,02.rda,2
shp,estado,ent_21,2021,03.rda,3
shp,estado,ent_21,2021,04.rda,4
shp,estado,ent_21,2021,05.rda,5
shp,estado,ent_21,2021,06.rda,6
shp,estado,ent_21,2021,07.rda,7
shp,estado,ent_21,2021,08.rda,8
shp,estado,ent_21,2021,09.rda,9
shp,estado,ent_21,2021,10.rda,10
shp,estado,ent_21,2021,11.rda,11
shp,estado,ent_21,2021,12.rda,12
shp,estado,ent_21,2021,13.rda,13
shp,estado,ent_21,2021,14.rda,14
shp,estado,ent_21,2021,15.rda,15
shp,estado,ent_21,2021,16.rda,16
shp,estado,ent_21,2021,17.rda,17
shp,estado,ent_21,2021,18.rda,18
shp,estado,ent_21,2021,19.rda,19
shp,estado,ent_21,2021,20.rda,20
shp,estado,ent_21,2021,21.rda,21
shp,estado,ent_21,2021,22.rda,22
shp,estado,ent_21,2021,23.rda,23
shp,estado,ent_21,2021,24.rda,24
shp,estado,ent_21,2021,25.rda,25
shp,estado,ent_21,2021,26.rda,26
shp,estado,ent_21,2021,27.rda,27
shp,estado,ent_21,2021,28.rda,28
shp,estado,ent_21,2021,29.rda,29
shp,estado,ent_21,2021,30.rda,30
shp,estado,ent_21,2021,31.rda,31
shp,estado,ent_21,2021,32.rda,32
shp,municipio,mun_21,2021,06.rda,6
shp,municipio,mun_21,2021,01.rda,1
shp,municipio,mun_21,2021,02.rda,2
